1,0.52
1,0.67
1,0.55
1,0.48
1,0.64
1,0.52
1,0.53
1,0.52
1,0.58
1,0.51
2,0.79
2,0.88
2,0.77
2,0.82
2,0.81
2,0.74
2,0.61
2,0.81
2,0.55
2,0.85
3,0.84
3,0.83
3,0.78
3,0.98
3,0.97
3,0.95
3,0.74
3,0.76
3,0.99
3,0.88
4,0.96
4,0.94
4,0.87
4,0.84
4,0.75
4,0.97
4,0.91
4,0.98
4,0.89
4,1.0
5,0.88
5,0.93
5,0.99
5,0.97
5,0.96
5,1.0
5,0.77
5,0.94
5,0.94
5,0.8
6,0.99
6,0.98
6,1.0
6,0.97
6,0.98
6,0.99
6,0.89
6,0.9
6,0.96
6,0.93
7,1.0
7,0.99
7,0.96
7,0.98
7,1.0
7,1.0
7,0.96
7,1.0
7,0.96
7,0.98
8,1.0
8,0.97
8,1.0
8,0.99
8,0.96
8,0.99
8,0.96
8,1.0
8,0.93
8,0.99
9,1.0
9,1.0
9,0.98
9,0.95
9,0.94
9,1.0
9,1.0
9,0.93
9,1.0
9,1.0
10,0.97
10,0.99
10,1.0
10,1.0
10,1.0
10,0.97
10,0.92
10,1.0
10,1.0
10,1.0
15,1.0
15,0.99
15,0.98
15,0.99
15,1.0
15,1.0
15,0.99
15,1.0
15,1.0
15,1.0
14,1.0
14,0.99
14,1.0
14,0.98
14,1.0
14,0.99
14,1.0
14,1.0
14,1.0
14,1.0
13,0.98
13,1.0
13,1.0
13,1.0
13,1.0
13,1.0
13,0.99
13,0.97
13,1.0
13,0.97
12,0.98
12,0.99
12,0.99
12,1.0
12,1.0
12,1.0
12,1.0
12,0.99
12,0.96
12,1.0
11,1.0
11,0.98
11,0.92
11,0.99
11,1.0
11,0.99
11,0.95
11,0.99
11,1.0
11,1.0
